OID,DistanceMeters,FromMun,ToMun
-1,1898.648341292335300,101,147
-1,6691.310256768401800,101,175
-1,7279.496852078878000,101,167
-1,8381.575223885094600,101,157
-1,8647.326579309217800,101,185
-1,9320.655561832103600,101,161
-1,9328.630529937736400,101,153
-1,9577.042050612873900,101,159
-1,10299.559251476043000,101,163
-1,11246.301428026631000,101,155
-1,12265.538822709756000,101,187
-1,12629.336221684689000,101,173
-1,12685.412039141393000,101,165
-1,13713.214215951788000,101,151
-1,16510.415905102789000,101,183
-1,17761.475510289471000,101,190
-1,18157.666958612313000,101,230
-1,19817.720100526705000,101,169
-1,21526.206752755043000,101,253
-1,22708.297899374229000,101,240
-1,23540.034955241827000,101,223
-1,24781.511571799168000,101,201
-1,28387.937399620270000,101,269
-1,28595.917142424754000,101,265
-1,31399.410573463789000,101,210
-1,34087.142585261507000,101,219
-1,37455.889716096077000,101,250
-1,39020.609059700080000,101,259
-1,40244.346923838479000,101,350
-1,40585.267224410236000,101,217
-1,41187.673339492059000,101,336
-1,46343.870039652647000,101,270
-1,48131.975847553702000,101,260
-1,52350.287230267466000,101,329
-1,53173.782989884974000,101,320
-1,58855.199602206325000,101,316
-1,65730.270027916617000,101,306
-1,66151.440900438683000,101,340
-1,69566.234552608512000,101,370
-1,77826.537528358458000,101,390
-1,83387.128643228119000,101,326
-1,84982.119578793470000,101,330
-1,108883.460354619120000,101,376
-1,124486.515080062760000,101,450
-1,124654.968886758900000,101,440
-1,124922.829943530970000,101,741
-1,125615.771816619090000,101,360
-1,140038.821525406590000,101,479
-1,140700.692674103860000,101,482
-1,141452.395931420290000,101,461
-1,144227.004381603300000,101,706
-1,146496.744851565340000,101,480
-1,148046.820354551920000,101,707
-1,148231.020576418930000,101,430
-1,153696.215170566840000,101,727
-1,159341.132867296400000,101,751
-1,161470.882780069630000,101,400
-1,162587.832254039940000,101,420
-1,164220.816305616380000,101,492
-1,170052.257867869720000,101,410
-1,173428.680551940630000,101,746
-1,175908.112385617950000,101,615
-1,176983.980244974050000,101,766
-1,178271.220569494440000,101,710
-1,180744.324813917340000,101,730
-1,181074.885800703980000,101,607
-1,193258.288859975500000,101,540
-1,197487.768994492890000,101,846
-1,197910.785848890460000,101,621
-1,198330.330073198510000,101,740
-1,200472.345775337400000,101,630
-1,201480.032570617010000,101,825
-1,208740.170637632020000,101,510
-1,211926.018018074220000,101,756
-1,212082.668671184100000,101,840
-1,214784.255664193940000,101,791
-1,218666.299137183290000,101,851
-1,219477.833621237170000,101,580
-1,221934.737366562590000,101,575
-1,225393.796599755470000,101,530
-1,228585.976429080560000,101,810
-1,234422.264888534530000,101,820
-1,234843.173123893740000,101,813
-1,236021.156212737060000,101,657
-1,242882.723968235280000,101,550
-1,245824.026109112310000,101,561
-1,246640.410602704800000,101,779
-1,249167.818145300290000,101,849
-1,250592.244762971210000,101,860
-1,255957.005249662790000,101,573
-1,258040.067710812580000,101,661
-1,258507.790237994630000,101,760
-1,263044.372158203620000,101,563
-1,266149.335985635760000,101,671
-1,267988.876046376480000,101,773
-1,280910.388840487230000,101,665
-1,282318.193283689150000,101,787
-1,1898.648341292296000,147,101
-1,4799.800989418072300,147,175
-1,6516.001272277982000,147,167
-1,7460.777960588473400,147,161
-1,7924.582673710800000,147,153
-1,8071.118688041474300,147,157
-1,8240.538904163087900,147,159
-1,8604.497263249297200,147,163
-1,10264.389195415974000,147,185
-1,10836.944940906376000,147,187
-1,10850.501506313534000,147,165
-1,11841.621189431720000,147,173
-1,11863.156249095300000,147,151
-1,12517.487031395600000,147,155
-1,15041.763445277393000,147,183
-1,16202.959881360546000,147,190
-1,17325.301754106305000,147,230
-1,18058.386534087200000,147,169
-1,20152.151483415884000,147,253
-1,20855.182699747667000,147,240
-1,22763.492858999263000,147,223
-1,23319.514437145070000,147,201
-1,26876.224247938397000,147,265
-1,27169.083714164663000,147,269
-1,30538.806811995426000,147,210
-1,32647.589422350367000,147,219
-1,35584.564918900156000,147,250
-1,37948.912263223006000,147,259
-1,38491.745577982481000,147,350
-1,39948.147992230573000,147,217
-1,41026.086453664779000,147,336
-1,45120.684873987819000,147,270
-1,46450.604628534711000,147,260
-1,50984.762359001084000,147,329
-1,52550.679939859016000,147,320
-1,57044.193241687790000,147,316
-1,63832.929141392458000,147,306
-1,64588.728294607536000,147,340
-1,68563.221111133840000,147,370
-1,77650.470409591915000,147,390
-1,81594.552843854108000,147,326
-1,83564.940322583614000,147,330
-1,108594.813297799610000,147,376
-1,122938.251546532000000,147,450
-1,122958.728846540860000,147,440
-1,123034.140000064390000,147,741
-1,124860.527940106610000,147,360
-1,138653.845340827040000,147,479
-1,139538.382087369330000,147,482
-1,139782.942895891930000,147,461
-1,142383.761222281110000,147,706
-1,144735.922138232850000,147,480
-1,146276.558098694600000,147,707
-1,146702.372010587220000,147,430
-1,151802.157544913850000,147,727
-1,157449.653872495170000,147,751
-1,160945.482839488280000,147,420
-1,162950.100308826600000,147,492
-1,163361.264345676030000,147,400
-1,168309.572457616280000,147,410
-1,171530.042102069420000,147,746
-1,174018.672181027740000,147,615
-1,175117.704071097080000,147,766
-1,176393.742591992050000,147,710
-1,178922.266519483270000,147,730
-1,179274.048766794000000,147,607
-1,191795.670782374570000,147,540
-1,195705.765707039390000,147,846
-1,196148.951849836300000,147,621
-1,196433.088353575440000,147,740
-1,198619.210734827940000,147,630
-1,200182.912954958590000,147,825
-1,207060.314426336180000,147,510
-1,210031.310803495870000,147,756
-1,210326.640039160670000,147,840
-1,212911.394704613830000,147,791
-1,216992.245236629040000,147,851
-1,217929.641381417280000,147,580
-1,220155.057598502260000,147,575
-1,223542.167146036020000,147,530
-1,227016.009777067490000,147,810
-1,232620.734064804880000,147,820
-1,233408.629946396740000,147,813
-1,234123.009912812410000,147,657
