OMRÅDE;ENHED;KOEN;ALDER1;INDKINTB;TID;INDHOLD
000;103;M;15-19;010;2021;88051
000;103;M;15-19;020;2021;34924
000;103;M;15-19;030;2021;17263
000;103;M;15-19;040;2021;10558
000;103;M;15-19;105;2021;5944
000;103;M;15-19;115;2021;4066
000;103;M;15-19;125;2021;4173
000;103;M;15-19;130;2021;3389
000;103;M;15-19;135;2021;2054
000;103;M;15-19;255;2021;1244
000;103;M;15-19;300;2021;966
000;103;M;15-19;350;2021;449
000;103;M;15-19;400;2021;160
000;103;M;15-19;450;2021;76
000;103;M;15-19;500;2021;34
000;103;M;15-19;905;2021;114
000;103;M;20-24;010;2021;9356
000;103;M;20-24;020;2021;9637
000;103;M;20-24;030;2021;9768
000;103;M;20-24;040;2021;21626
000;103;M;20-24;105;2021;15163
000;103;M;20-24;115;2021;15149
000;103;M;20-24;125;2021;14420
000;103;M;20-24;130;2021;14769
000;103;M;20-24;135;2021;13492
000;103;M;20-24;255;2021;12602
000;103;M;20-24;300;2021;17152
000;103;M;20-24;350;2021;11687
000;103;M;20-24;400;2021;7851
000;103;M;20-24;450;2021;4819
000;103;M;20-24;500;2021;2765
000;103;M;20-24;905;2021;3434
000;103;M;25-29;010;2021;6912
000;103;M;25-29;020;2021;2507
000;103;M;25-29;030;2021;3619
000;103;M;25-29;040;2021;10489
000;103;M;25-29;105;2021;7840
000;103;M;25-29;115;2021;11055
000;103;M;25-29;125;2021;9636
000;103;M;25-29;130;2021;9208
000;103;M;25-29;135;2021;8716
000;103;M;25-29;255;2021;10928
000;103;M;25-29;300;2021;19365
000;103;M;25-29;350;2021;19888
000;103;M;25-29;400;2021;21707
000;103;M;25-29;450;2021;19323
000;103;M;25-29;500;2021;13662
000;103;M;25-29;905;2021;24678
000;103;M;30-34;010;2021;5502
000;103;M;30-34;020;2021;1201
000;103;M;30-34;030;2021;1555
000;103;M;30-34;040;2021;3015
000;103;M;30-34;105;2021;2747
000;103;M;30-34;115;2021;5542
000;103;M;30-34;125;2021;4601
000;103;M;30-34;130;2021;5264
000;103;M;30-34;135;2021;4776
000;103;M;30-34;255;2021;7571
000;103;M;30-34;300;2021;14200
000;103;M;30-34;350;2021;16430
000;103;M;30-34;400;2021;21277
000;103;M;30-34;450;2021;22450
000;103;M;30-34;500;2021;19246
000;103;M;30-34;905;2021;52275
000;103;M;35-39;010;2021;4154
000;103;M;35-39;020;2021;727
000;103;M;35-39;030;2021;862
000;103;M;35-39;040;2021;1521
000;103;M;35-39;105;2021;1455
000;103;M;35-39;115;2021;3018
000;103;M;35-39;125;2021;2771
000;103;M;35-39;130;2021;3965
000;103;M;35-39;135;2021;3706
000;103;M;35-39;255;2021;6204
000;103;M;35-39;300;2021;10403
000;103;M;35-39;350;2021;12299
000;103;M;35-39;400;2021;16606
000;103;M;35-39;450;2021;18687
000;103;M;35-39;500;2021;17058
000;103;M;35-39;905;2021;62366
000;103;M;40-44;010;2021;3763
000;103;M;40-44;020;2021;598
000;103;M;40-44;030;2021;734
000;103;M;40-44;040;2021;1000
000;103;M;40-44;105;2021;1141
000;103;M;40-44;115;2021;2312
000;103;M;40-44;125;2021;2245
000;103;M;40-44;130;2021;3864
000;103;M;40-44;135;2021;3527
000;103;M;40-44;255;2021;5914
000;103;M;40-44;300;2021;9644
000;103;M;40-44;350;2021;11156
000;103;M;40-44;400;2021;15206
000;103;M;40-44;450;2021;17794
000;103;M;40-44;500;2021;16833
000;103;M;40-44;905;2021;74835
000;103;M;45-49;010;2021;3602
000;103;M;45-49;020;2021;642
000;103;M;45-49;030;2021;694
000;103;M;45-49;040;2021;941
000;103;M;45-49;105;2021;1049
000;103;M;45-49;115;2021;2241
000;103;M;45-49;125;2021;2363
000;103;M;45-49;130;2021;4026
000;103;M;45-49;135;2021;3724
000;103;M;45-49;255;2021;6587
000;103;M;45-49;300;2021;10403
000;103;M;45-49;350;2021;11414
000;103;M;45-49;400;2021;15724
000;103;M;45-49;450;2021;18900
000;103;M;45-49;500;2021;18120
000;103;M;45-49;905;2021;91692
000;103;M;50-54;010;2021;3625
000;103;M;50-54;020;2021;574
000;103;M;50-54;030;2021;693
000;103;M;50-54;040;2021;880
000;103;M;50-54;105;2021;1007
000;103;M;50-54;115;2021;2529
000;103;M;50-54;125;2021;2587
000;103;M;50-54;130;2021;4423
000;103;M;50-54;135;2021;3962
000;103;M;50-54;255;2021;7548
000;103;M;50-54;300;2021;11193
000;103;M;50-54;350;2021;11981
000;103;M;50-54;400;2021;16755
000;103;M;50-54;450;2021;19609
000;103;M;50-54;500;2021;18013
000;103;M;50-54;905;2021;89991
000;103;M;55-59;010;2021;3744
000;103;M;55-59;020;2021;712
000;103;M;55-59;030;2021;854
000;103;M;55-59;040;2021;1018
000;103;M;55-59;105;2021;1092
000;103;M;55-59;115;2021;2993
000;103;M;55-59;125;2021;3099
000;103;M;55-59;130;2021;5001
000;103;M;55-59;135;2021;4811
000;103;M;55-59;255;2021;9264
000;103;M;55-59;300;2021;13540
000;103;M;55-59;350;2021;14132
000;103;M;55-59;400;2021;19235
000;103;M;55-59;450;2021;21545
000;103;M;55-59;500;2021;18819
000;103;M;55-59;905;2021;86358
000;103;M;60-64;010;2021;3163
000;103;M;60-64;020;2021;679
000;103;M;60-64;030;2021;769
000;103;M;60-64;040;2021;912
000;103;M;60-64;105;2021;1064
000;103;M;60-64;115;2021;2427
000;103;M;60-64;125;2021;3308
000;103;M;60-64;130;2021;6133
000;103;M;60-64;135;2021;6073
000;103;M;60-64;255;2021;10625
000;103;M;60-64;300;2021;15179
000;103;M;60-64;350;2021;13606
000;103;M;60-64;400;2021;16334
000;103;M;60-64;450;2021;16996
000;103;M;60-64;500;2021;15019
000;103;M;60-64;905;2021;61162
000;103;M;65-69;010;2021;1334
