OMRÅDE;ENHED;KOEN;ALDER1;INDKINTB;TID;INDHOLD
All Denmark;Persons in the group (number);Men;15-19 years;Under 25,000 DKK;2021;88051
All Denmark;Persons in the group (number);Men;15-19 years;25,000 - 49,999 DKK;2021;34924
All Denmark;Persons in the group (number);Men;15-19 years;50,000 - 74,999 DKK;2021;17263
All Denmark;Persons in the group (number);Men;15-19 years;75,000 - 99,999 DKK;2021;10558
All Denmark;Persons in the group (number);Men;15-19 years;100,000 - 124,999 DKK;2021;5944
All Denmark;Persons in the group (number);Men;15-19 years;125,000 - 149,999 DKK;2021;4066
All Denmark;Persons in the group (number);Men;15-19 years;150,000 - 174,999 DKK;2021;4173
All Denmark;Persons in the group (number);Men;15-19 years;175,000 - 199,999 DKK;2021;3389
All Denmark;Persons in the group (number);Men;15-19 years;200,000 - 224,999 DKK;2021;2054
All Denmark;Persons in the group (number);Men;15-19 years;225,000 - 249,999 DKK;2021;1244
All Denmark;Persons in the group (number);Men;15-19 years;250,000 - 299,999 DKK;2021;966
All Denmark;Persons in the group (number);Men;15-19 years;300,000 - 349,999 DKK;2021;449
All Denmark;Persons in the group (number);Men;15-19 years;350,000 - 399,999 DKK;2021;160
All Denmark;Persons in the group (number);Men;15-19 years;400,000 - 449,999 DKK;2021;76
All Denmark;Persons in the group (number);Men;15-19 years;450,000 - 499,999 DKK;2021;34
All Denmark;Persons in the group (number);Men;15-19 years;500,000 DKK and more;2021;114
All Denmark;Persons in the group (number);Men;20-24 years;Under 25,000 DKK;2021;9356
All Denmark;Persons in the group (number);Men;20-24 years;25,000 - 49,999 DKK;2021;9637
All Denmark;Persons in the group (number);Men;20-24 years;50,000 - 74,999 DKK;2021;9768
All Denmark;Persons in the group (number);Men;20-24 years;75,000 - 99,999 DKK;2021;21626
All Denmark;Persons in the group (number);Men;20-24 years;100,000 - 124,999 DKK;2021;15163
All Denmark;Persons in the group (number);Men;20-24 years;125,000 - 149,999 DKK;2021;15149
All Denmark;Persons in the group (number);Men;20-24 years;150,000 - 174,999 DKK;2021;14420
All Denmark;Persons in the group (number);Men;20-24 years;175,000 - 199,999 DKK;2021;14769
All Denmark;Persons in the group (number);Men;20-24 years;200,000 - 224,999 DKK;2021;13492
All Denmark;Persons in the group (number);Men;20-24 years;225,000 - 249,999 DKK;2021;12602
All Denmark;Persons in the group (number);Men;20-24 years;250,000 - 299,999 DKK;2021;17152
All Denmark;Persons in the group (number);Men;20-24 years;300,000 - 349,999 DKK;2021;11687
All Denmark;Persons in the group (number);Men;20-24 years;350,000 - 399,999 DKK;2021;7851
All Denmark;Persons in the group (number);Men;20-24 years;400,000 - 449,999 DKK;2021;4819
All Denmark;Persons in the group (number);Men;20-24 years;450,000 - 499,999 DKK;2021;2765
All Denmark;Persons in the group (number);Men;20-24 years;500,000 DKK and more;2021;3434
All Denmark;Persons in the group (number);Men;25-29 years;Under 25,000 DKK;2021;6912
All Denmark;Persons in the group (number);Men;25-29 years;25,000 - 49,999 DKK;2021;2507
All Denmark;Persons in the group (number);Men;25-29 years;50,000 - 74,999 DKK;2021;3619
All Denmark;Persons in the group (number);Men;25-29 years;75,000 - 99,999 DKK;2021;10489
All Denmark;Persons in the group (number);Men;25-29 years;100,000 - 124,999 DKK;2021;7840
All Denmark;Persons in the group (number);Men;25-29 years;125,000 - 149,999 DKK;2021;11055
All Denmark;Persons in the group (number);Men;25-29 years;150,000 - 174,999 DKK;2021;9636
All Denmark;Persons in the group (number);Men;25-29 years;175,000 - 199,999 DKK;2021;9208
All Denmark;Persons in the group (number);Men;25-29 years;200,000 - 224,999 DKK;2021;8716
All Denmark;Persons in the group (number);Men;25-29 years;225,000 - 249,999 DKK;2021;10928
All Denmark;Persons in the group (number);Men;25-29 years;250,000 - 299,999 DKK;2021;19365
All Denmark;Persons in the group (number);Men;25-29 years;300,000 - 349,999 DKK;2021;19888
All Denmark;Persons in the group (number);Men;25-29 years;350,000 - 399,999 DKK;2021;21707
All Denmark;Persons in the group (number);Men;25-29 years;400,000 - 449,999 DKK;2021;19323
All Denmark;Persons in the group (number);Men;25-29 years;450,000 - 499,999 DKK;2021;13662
All Denmark;Persons in the group (number);Men;25-29 years;500,000 DKK and more;2021;24678
All Denmark;Persons in the group (number);Men;30-34 years;Under 25,000 DKK;2021;5502
All Denmark;Persons in the group (number);Men;30-34 years;25,000 - 49,999 DKK;2021;1201
All Denmark;Persons in the group (number);Men;30-34 years;50,000 - 74,999 DKK;2021;1555
All Denmark;Persons in the group (number);Men;30-34 years;75,000 - 99,999 DKK;2021;3015
All Denmark;Persons in the group (number);Men;30-34 years;100,000 - 124,999 DKK;2021;2747
All Denmark;Persons in the group (number);Men;30-34 years;125,000 - 149,999 DKK;2021;5542
All Denmark;Persons in the group (number);Men;30-34 years;150,000 - 174,999 DKK;2021;4601
All Denmark;Persons in the group (number);Men;30-34 years;175,000 - 199,999 DKK;2021;5264
All Denmark;Persons in the group (number);Men;30-34 years;200,000 - 224,999 DKK;2021;4776
All Denmark;Persons in the group (number);Men;30-34 years;225,000 - 249,999 DKK;2021;7571
All Denmark;Persons in the group (number);Men;30-34 years;250,000 - 299,999 DKK;2021;14200
All Denmark;Persons in the group (number);Men;30-34 years;300,000 - 349,999 DKK;2021;16430
All Denmark;Persons in the group (number);Men;30-34 years;350,000 - 399,999 DKK;2021;21277
All Denmark;Persons in the group (number);Men;30-34 years;400,000 - 449,999 DKK;2021;22450
All Denmark;Persons in the group (number);Men;30-34 years;450,000 - 499,999 DKK;2021;19246
All Denmark;Persons in the group (number);Men;30-34 years;500,000 DKK and more;2021;52275
All Denmark;Persons in the group (number);Men;35-39 years;Under 25,000 DKK;2021;4154
