,OTM70_ZoneID,EmploymentTotal_Scn1,Population_Scn1,StudentsTotal_Scn1,ParkingSpaces
0,-1,0.0,10.02,0,0.0
1,1,8363.96,200.42,0,216.0
2,2,2821.82,359.07,0,103.0
3,3,1415.6399999999999,202.37,0,17.0
4,4,5775.530000000001,0.0,0,205.0
5,5,2561.99,856.4100000000001,0,41.0
6,6,84.73,133.97,0,58.0
7,7,3843.15,93.39,0,22.0
8,8,3301.6,296.44,0,90.0
9,9,4762.54,760.84,0,65.0
10,10,6621.93,81.68,0,187.0
11,11,11401.89,467.29,0,450.0
12,12,626.3,216.06,0,97.0
13,13,1109.65,340.88,0,55.0
14,14,2084.79,533.5,0,44.0
15,15,2329.16,195.69,50,11.0
16,16,2680.7799999999997,836.4899999999999,0,198.0
17,17,5386.179999999999,225.75,0,140.0
18,18,3255.42,367.52,0,17.0
19,19,6275.08,345.84000000000003,0,527.0
20,20,1784.31,1643.48,509,103.0
21,21,946.91,383.1,114,5.0
22,22,335.77,183.76,0,20.0
23,23,1973.6399999999999,158.98000000000002,0,19.0
24,24,91.11,0.0,0,0.0
25,25,345.7,568.57,0,65.0
26,26,4227.6,59.52,0,494.0
27,27,7600.26,0.0,0,497.0
28,28,3322.17,499.16,8020,85.0
29,29,4326.959999999999,1855.12,2500,63.0
30,30,1769.0,208.99,0,17.0
31,31,465.08,117.08000000000001,0,47.0
32,32,246.83,39.8,0,0.0
33,33,2055.76,0.0,0,38.0
34,34,406.72,181.52,0,1.0
35,35,912.5699999999999,809.23,0,13.0
36,36,6515.04,12.64,0,1255.0
37,37,5000.5199999999995,173.06,0,167.0
38,38,5353.74,608.88,392,223.0
39,39,3958.3900000000003,8.56,0,466.0
40,40,6439.7,0.0,0,1182.0
41,41,1300.17,109.55999999999999,0,18.0
42,42,385.55,0.0,0,226.0
43,43,477.55,297.53999999999996,0,15.0
44,44,878.14,97.75,0,2.0
45,45,1292.73,509.63,0,32.0
46,46,11848.0,3757.9,0,833.0
47,47,443.53,494.47,0,17.0
48,48,469.05,345.37,0,30.0
49,49,3311.1,1015.75,0,162.0
50,50,926.1300000000001,0.0,0,49.0
51,51,692.11,72.77,0,229.0
52,52,11929.26,0.0,0,216.0
53,53,10794.05,67.03999999999999,0,45.0
54,54,1109.72,296.91999999999996,0,13.0
55,55,4387.74,430.91999999999996,12068,86.0
56,56,5715.9,696.8100000000001,0,422.0
57,57,2849.96,4479.08,180,118.0
58,58,666.15,1347.73,1641,1174.0
59,59,361.34000000000003,941.53,0,104.0
60,60,561.98,0.0,0,79.0
61,61,1778.0,159.84,0,4.0
62,62,1750.27,61.91,0,79.0
63,63,1106.74,600.0899999999999,0,20.0
64,64,5302.76,2022.48,0,372.0
65,65,1614.95,30.45,0,19.0
66,66,2008.33,53.22,0,5.0
67,67,1328.67,106.88000000000001,0,15.0
68,68,4113.02,3121.18,3582,174.0
69,69,648.67,342.84999999999997,0,26.0
70,70,2320.91,0.0,199,44.0
71,71,1162.3799999999999,1516.68,0,86.0
72,72,630.63,275.73,0,8.0
73,73,904.86,399.82,0,63.0
74,74,1745.44,959.06,0,60.0
75,75,13794.710000000001,1739.72,0,148.0
76,76,1395.8,521.12,44,81.0
77,77,1612.08,176.84,0,51.0
78,78,3462.6499999999996,3538.47,254,174.0
79,79,368.96999999999997,1080.0,0,23.0
80,80,4816.8,2316.76,0,215.0
81,81,184.67,459.98,0,29.0
82,82,974.12,73.32,704,41.0
83,83,8557.17,3234.54,0,688.0
84,84,1323.6399999999999,120.25,0,179.0
85,85,909.7,1313.6799999999998,0,58.0
86,86,5065.37,1688.78,0,320.0
87,87,14336.82,700.0,0,574.0
88,88,9527.31,1055.54,0,85.0
89,89,2718.83,3086.8500000000004,0,246.0
90,90,1004.06,1972.6000000000001,0,289.0
91,91,3962.4199999999996,0.0,2800,144.0
92,92,491.22,108.78,0,18.0
93,93,2589.6,1303.18,0,60.0
94,94,8803.06,524.74,35904,520.0
95,95,1457.78,2762.68,0,145.0
96,96,4232.05,3837.6499999999996,0,283.0
97,97,1762.47,4122.58,2221,286.0
98,98,7556.5,3600.55,0,337.0
99,99,59.86000000000001,367.38,485,45.0
100,100,4950.47,1874.42,0,652.0
101,101,4937.49,446.97,0,573.0
102,102,11728.150000000001,556.65,0,155.0
103,103,196.02,989.77,393,138.0
104,104,289.13,2343.02,0,230.0
105,105,5739.84,6285.62,8246,304.0
106,106,4219.110000000001,418.84,0,79.0
107,107,45.4,361.33000000000004,0,60.0
108,108,1262.49,320.75,0,329.0
109,109,89.6,783.6899999999999,0,147.0
110,110,94.99,672.0,0,139.0
111,111,234.12,164.86,0,96.0
112,112,181.01,1429.98,0,147.0
113,113,2397.88,4782.04,2965,380.0
114,114,378.53999999999996,3946.93,2433,466.0
115,115,3884.16,1647.12,0,89.0
116,116,0.0,71.81,0,37.0
117,117,0.0,437.94000000000005,0,314.0
118,118,4.66,81.92,0,60.0
119,119,142.0,780.0,0,24.0
120,120,3937.22,2189.78,0,361.0
121,121,1063.1499999999999,709.88,0,100.0
122,122,494.92,619.94,0,156.0
123,123,570.9000000000001,0.0,1593,38.0
124,124,1459.87,961.8299999999999,0,214.0
125,125,524.27,0.0,2277,66.0
126,126,4683.37,254.18,0,132.0
127,127,30.84,297.72,0,87.0
128,128,0.0,112.27,0,75.0
129,129,13501.76,2183.5,0,1018.0
130,130,50.150000000000006,533.77,0,68.0
131,131,163.44,1158.58,426,81.0
132,132,5977.14,2886.51,9205,571.0
133,133,572.5,22.400000000000002,0,113.0
134,134,62.68,24.3,0,404.0
135,135,745.72,1100.04,2409,116.0
136,136,60.0,495.0,0,47.0
137,137,1283.47,639.69,14,267.0
138,138,0.0,653.3,0,35.0
139,139,510.75,708.27,0,71.0
140,140,303.2,0.0,0,196.0
141,141,415.39,0.0,0,134.0
142,142,1231.26,3.87,0,146.0
143,143,100.00999999999999,1732.24,0,183.0
144,144,148.26999999999998,723.88,0,224.0
145,145,339.0,260.7,0,107.0
146,146,723.49,249.0,186,378.0
147,147,1070.16,1877.23,0,159.0
148,148,42.81,814.5799999999999,0,186.0
149,149,303.09999999999997,1994.55,0,187.0
150,150,93.38,0.0,0,143.0
151,151,212.82,5286.0,0,420.0
152,152,893.75,91.38,0,56.0
153,153,682.96,115.62,0,47.0
154,154,378.99,0.0,0,26.0
155,155,0.0,0.0,0,30.0
156,156,492.02,2438.11,0,189.0
157,157,5575.8099999999995,1973.6200000000001,0,489.0
158,158,1956.03,3325.67,2708,172.0
159,159,54250.15,42.15,7215,1159.0
160,160,1410.8200000000002,3662.6499999999996,0,363.0
161,161,731.69,4275.4800000000005,0,149.0
162,162,280.79,1005.59,0,93.0
163,163,129.94,1726.67,0,199.0
164,164,2555.23,3855.66,0,305.0
165,165,6726.63,2404.56,1808,642.0
166,166,20.099999999999998,856.06,0,157.0
167,167,119.24,0.0,0,83.0
168,168,89.22999999999999,643.76,0,135.0
169,169,382.38,1336.92,0,238.0
170,170,1157.43,3897.22,0,188.0
171,171,1785.88,3626.11,3900,148.0
172,172,1281.6699999999998,2311.04,0,300.0
173,173,64.45,1750.62,966,201.0
174,174,46.269999999999996,426.9,0,147.0
175,175,68.88,575.04,0,67.0
176,176,21398.28,8164.25,0,2468.0
177,177,253.24,1579.51,0,262.0
178,178,8522.949999999999,12.350000000000001,0,736.0
