Year;MunicipalityID;zoneid;ZoneName;ZoneDescription;CountryCode;Area;BNP;JOBS;Population;Area_km2;Density;CPH_FRDB;Main_cities;MainC_and_HighDensAreas;HighDensAreas;East_GB;East_GB_NoBorholm
2020;101;102110;Christiansborg;Kobenhavns Kommune;DK;212076;3036730343;3361.603516;35.80459487;0.212076;168.8290748;1;1;1;0;1;1
2020;101;102120;Kgs. Nytorv;Kobenhavns Kommune;DK;390711;16041809505;25413.57422;3370.699082;0.390711;8627.09031;1;1;1;1;1;1
2020;101;102130;RÜdhuspladsen;Kobenhavns Kommune;DK;160842;7419447912;8657.416992;644.0275785;0.160842;4004.100785;1;1;1;1;1;1
2020;101;102140;Norreport;Kobenhavns Kommune;DK;365309;13011505505;19768.46484;3769.272089;0.365309;10318.03785;1;1;1;1;1;1
2020;101;102150;Orstedparken;Kobenhavns Kommune;DK;481199;3464840737;5717.881348;6555.462272;0.481199;13623.18349;1;1;1;1;1;1
2020;101;102160;Vesterport;Kobenhavns Kommune;DK;390298;9247843312;12651.68066;911.9479684;0.390298;2336.542766;1;1;1;1;1;1
2020;101;102170;Tivoli;Kobenhavns Kommune;DK;427606;11394524776;14323.22461;1565.173896;0.427606;3660.3179;1;1;1;1;1;1
2020;101;102180;Kobenhavns HovedbanegÜrd;Kobenhavns Kommune;DK;894439;13983988383;18495.16211;6254.879388;0.894439;6993.075423;1;1;1;1;1;1
2020;101;102210;Osterport;Kobenhavns Kommune;DK;1391170;6897449692;8374.591797;10817.17647;1.39117;7775.596419;1;1;1;1;1;1
2020;101;102220;Amalienborg;Kobenhavns Kommune;DK;934917;1.87E+11;27430.74805;8453.146823;0.934917;9041.601365;1;1;1;1;1;1
2020;101;102230;Kongens Have;Kobenhavns Kommune;DK;525859;488730288.9;1139.366699;2092.668861;0.525859;3979.524665;1;1;1;1;1;1
2020;101;102310;Ydre Osterbro O;Kobenhavns Kommune Nord;DK;1251602;1955132017;2744.997314;4234.058092;1.251602;3382.910935;1;1;1;1;1;1
2020;101;102320;Svanemollen;Kobenhavns Kommune Nord;DK;1257550;3750673072;5267.13916;16004.58436;1.25755;12726.79763;1;1;1;1;1;1
2020;101;102330;Nordhavn;Kobenhavns Kommune Nord;DK;2780716;14139609154;15533.97754;6718.248154;2.780716;2416.013773;1;1;1;1;1;1
2020;101;102340;Indre Osterbro N;Kobenhavns Kommune Nord;DK;1230904;6334924120;9540.463867;22654.1039;1.230904;18404.44413;1;1;1;1;1;1
2020;101;102350;Indre Osterbro S;Kobenhavns Kommune Nord;DK;700732;2818122030;4552.375488;15723.52678;0.700732;22438.71663;1;1;1;1;1;1
2020;101;102410;Ydre Osterbro V;Kobenhavns Kommune Nord;DK;1025245;6454364047;9666.069336;14349.48614;1.025245;13996.15325;1;1;1;1;1;1
2020;101;102420;Rigshospitalet;Kobenhavns Kommune Nord;DK;1245823;8384950303;13715.24219;6301.526939;1.245823;5058.123778;1;1;1;1;1;1
2020;101;102430;Ydre Norrebro N;Kobenhavns Kommune Nord;DK;1038899;3118086321;4993.130371;18158.9629;1.038899;17479.04551;1;1;1;1;1;1
2020;101;102440;Indre Norrebro S;Kobenhavns Kommune Nord;DK;1838930;6407048912;11990.31445;34179.4093;1.83893;18586.57442;1;1;1;1;1;1
2020;101;102450;Ydre Norrebro V;Kobenhavns Kommune Nord;DK;1051823;3140731272;4666.666504;26510.18339;1.051823;25204.0347;1;1;1;1;1;1
2020;101;102510;Ryparken;Kobenhavns Kommune Nord;DK;1282488;3756250371;4300.489258;5591.784205;1.282488;4360.106453;1;1;1;1;1;1
2020;101;102520;Emdrup;Kobenhavns Kommune Nord;DK;1359742;904614615.1;2617.921143;5522.91389;1.359742;4061.736631;1;1;1;1;1;1
2020;101;102530;Bispebjerg O;Kobenhavns Kommune Nord;DK;2303802;6185822361;8801.703125;19529.91579;2.303802;8477.254465;1;1;1;1;1;1
2020;101;102540;Utterslev;Kobenhavns Kommune Nord;DK;1058439;4224590508;11579.61426;17729.8454;1.058439;16750.93737;1;1;1;1;1;1
2020;101;102550;Grondal O;Kobenhavns Kommune Nord;DK;1271337;1791553830;2518.858643;7827.352231;1.271337;6156.787878;1;1;1;1;1;1
2020;101;102560;Bispebjerg V;Kobenhavns Kommune Nord;DK;2612516;1599368576;2276.135742;12491.22803;2.612516;4781.302021;1;1;1;1;1;1
2020;101;102610;Bronshoj;Kobenhavns Kommune Nord;DK;2177500;1112381226;2005.409302;13762.37524;2.1775;6320.264175;1;1;1;1;1;1
2020;101;102620;Grondal V;Kobenhavns Kommune Nord;DK;778898;320500759.9;520.9266968;7123.418984;0.778898;9145.509404;1;1;1;1;1;1
